鄉鎮市區,交易年月日,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,縣市,住宅面積,屋齡_ADD,X,Y,移轉層次_ADD,總樓層數_ADD
蘆洲區,1080902,住宅大樓(11層含以上有電梯),4,2,2,114619,新北市,164.720,13,296753.268,2774962.402,7,13
蘆洲區,1080105,住宅大樓(11層含以上有電梯),3,2,2,124067,新北市,139.360,2,296830.275,2775201.365,12,12
蘆洲區,1080109,住宅大樓(11層含以上有電梯),4,2,3,136121,新北市,309.070,3,296647.582,2775982.274,7,14
蘆洲區,1080923,住宅大樓(11層含以上有電梯),3,2,2,120991,新北市,163.400,5,296736.348,2775302.129,8,11
蘆洲區,1080503,華廈(10層含以下有電梯),5,2,2,111516,新北市,153.790,11,296696.761,2775164.234,5,7
蘆洲區,1080524,住宅大樓(11層含以上有電梯),3,2,1,125752,新北市,109.740,5,298413.617,2775333.071,4,12
蘆洲區,1080307,住宅大樓(11層含以上有電梯),4,2,2,117972,新北市,182.840,7,298671.454,2775352.515,11,13
蘆洲區,1080916,住宅大樓(11層含以上有電梯),2,1,1,152747,新北市,88.840,1,297589.185,2775313.484,12,12
蘆洲區,1080916,住宅大樓(11層含以上有電梯),2,1,1,140188,新北市,89.380,1,297589.185,2775313.484,6,12
鶯歌區,1080830,住宅大樓(11層含以上有電梯),3,2,2,73568,新北市,114.180,16,285938.281,2761081.245,5,13
鶯歌區,1080504,住宅大樓(11層含以上有電梯),3,2,2,56124,新北市,121.160,1,284485.488,2759440.666,14,14
鶯歌區,1080530,透天厝,4,2,3,63332,新北市,153.160,30,285473.183,2760358.055,0,3
鶯歌區,1080702,華廈(10層含以下有電梯),3,2,2,53697,新北市,130.360,22,284397.173,2760921.069,6,7
鶯歌區,1080717,華廈(10層含以下有電梯),4,2,2,52175,新北市,128.030,23,284258.549,2760971.980,8,8
鶯歌區,1080618,華廈(10層含以下有電梯),3,2,2,45072,新北市,105.830,23,284524.667,2760978.486,2,8
鶯歌區,1080616,住宅大樓(11層含以上有電梯),4,2,2,65260,新北市,127.490,13,286229.767,2761112.788,13,13
鶯歌區,1080823,透天厝,4,2,2,62402,新北市,128.200,30,284383.629,2760381.367,0,2
鶯歌區,1081016,公寓(5樓含以下無電梯),3,1,1,49947,新北市,75.080,25,284166.376,2759417.145,2,5
鶯歌區,1080823,華廈(10層含以下有電梯),4,2,2,39728,新北市,138.440,21,284446.137,2759272.703,3,8
鶯歌區,1080222,華廈(10層含以下有電梯),3,2,2,39462,新北市,55.750,23,284593.729,2759374.091,4,7
鶯歌區,1080613,華廈(10層含以下有電梯),3,2,2,34078,新北市,111.509,23,284593.729,2759374.091,2,7
鶯歌區,1080715,華廈(10層含以下有電梯),3,2,2,62473,新北市,113.650,23,285330.998,2760880.436,5,8
鶯歌區,1080424,透天厝,0,0,0,109489,新北市,137.000,37,284306.968,2763183.919,0,2
鶯歌區,1080303,華廈(10層含以下有電梯),3,2,2,45588,新北市,105.730,24,284620.810,2759769.029,5,7
鶯歌區,1080507,公寓(5樓含以下無電梯),3,2,1,40000,新北市,82.000,35,283289.647,2762299.203,5,5
鶯歌區,1080806,公寓(5樓含以下無電梯),3,2,1,43293,新北市,82.000,35,283289.647,2762299.203,5,5
鶯歌區,1080605,住宅大樓(11層含以上有電梯),2,2,1,64345,新北市,97.910,1,283480.204,2762797.196,10,14
鶯歌區,1080618,住宅大樓(11層含以上有電梯),2,2,1,67450,新北市,97.850,1,283480.204,2762797.196,10,14
鶯歌區,1080626,透天厝,4,1,2,72278,新北市,275.049,8,283419.526,2761405.216,0,4
鶯歌區,1080501,華廈(10層含以下有電梯),3,2,2,47948,新北市,117.420,26,284713.413,2760320.331,3,8
鶯歌區,1080308,華廈(10層含以下有電梯),3,1,1,53229,新北市,96.940,29,283234.993,2762421.035,5,8
鶯歌區,1080527,華廈(10層含以下有電梯),4,2,2,45248,新北市,152.050,29,282845.689,2762746.356,4,7
鶯歌區,1080326,住宅大樓(11層含以上有電梯),2,2,1,64037,新北市,92.289,1,283870.927,2762639.291,7,14
鶯歌區,1080429,住宅大樓(11層含以上有電梯),3,2,2,84123,新北市,136.110,3,285268.960,2761014.160,3,22
鶯歌區,1080321,住宅大樓(11層含以上有電梯),3,2,2,82686,新北市,144.280,3,285268.960,2761014.160,9,22
鶯歌區,1080609,住宅大樓(11層含以上有電梯),3,2,2,82371,新北市,187.930,3,285268.960,2761014.160,21,22
鶯歌區,1080927,住宅大樓(11層含以上有電梯),3,2,2,82797,新北市,187.930,3,285268.960,2761014.160,20,22
鶯歌區,1080513,住宅大樓(11層含以上有電梯),4,2,2,77766,新北市,213.459,3,285268.960,2761014.160,19,22
鶯歌區,1080421,住宅大樓(11層含以上有電梯),2,2,1,55645,新北市,80.869,1,284485.488,2759440.666,5,14
鶯歌區,1080422,住宅大樓(11層含以上有電梯),2,2,1,50301,新北市,81.510,1,284485.488,2759440.666,4,14
鶯歌區,1080720,住宅大樓(11層含以上有電梯),2,2,1,51152,新北市,92.860,1,284485.488,2759440.666,6,14
鶯歌區,1080630,住宅大樓(11層含以上有電梯),2,2,1,51601,新北市,93.990,1,284485.488,2759440.666,9,14
